Partido;Fecha y hora / Res.;Sede
Sudáfrica vs. Canadá;Dom. 28 de junio, 15:00;SoFi Stadium, Los Angeles
Alemania vs. Paraguay;Lun. 29 de junio, 16:30;Gillette Stadium, Foxborough
Países Bajos vs. Marruecos;Lun. 29 de junio, 21:00;Estadio BBVA, Monterrey
Brasil vs. Japón;Lun. 29 de junio, 13:00;NRG Stadium, Houston
Francia vs. Suecia;Mar. 30 de junio, 17:00;MetLife Stadium, East Rutherford
Costa de Marfil vs. Noruega;Mar. 30 de junio, 13:00;AT&T Stadium, Arlington
México vs. Ecuador;Mar. 30 de junio, 21:00;Estadio Azteca, CDMX
Inglaterra vs. Congo;Mié. 1 de julio, 12:00;Mercedes-Benz Stadium, Atlanta
Estados Unidos vs. Bosnia;Mié. 1 de julio, 20:00;Levi's Stadium, Santa Clara
Bélgica vs. Senegal;Mié. 1 de julio, 16:00;Lumen Field, Seattle
Portugal vs. Croacia;Jue. 2 de julio, 19:00;BMO Field, Toronto
España vs. Austria;Jue. 2 de julio, 15:00;SoFi Stadium, Los Angeles
Suiza vs. Argelia;Jue. 2 de julio, 23:00;BC Place, Vancouver
Argentina vs. Cabo Verde;Vie. 3 de julio, 18:00;Hard Rock Stadium, Miami
Colombia vs. Ghana;Vie. 3 de julio, 21:30;Arrowhead Stadium, Kansas City
Australia vs. Egipto;Vie. 3 de julio, 14:00;AT&T Stadium, Arlington
